Data Generated by,Optosky,,,,
292,957.8149,11617,11359,258,47.50868276165218
293,960.2948,11525,11213,312,51.369260929137134
294,962.7737,11404,11098,306,54.89547929793646
295,965.2516,11361,11129,232,58.0016561138518
296,967.7284,11380,11099,281,60.581756807814436
297,970.2043,11196,10903,293,62.241842886918256
298,972.6792,11004,10762,242,63.47299303688954
299,975.153,10974,10607,367,64.83500466259274
300,977.6259,11176,10782,394,65.8120268582679
301,980.0977,11242,11001,241,65.90902718551247
302,982.5685,11336,11021,315,64.55736852447625
303,985.0384,11504,11161,343,61.147472976501206
304,987.5072,11503,11183,320,56.485258224442894
305,989.975,11318,10901,417,51.81714901695871
306,992.4418,11289,11098,191,47.74158278674664
307,994.9076,11364,11136,228,45.020764634845236
308,997.3723,11288,10990,298,44.35882086272614
309,999.8361,11321,11033,288,46.11327071298927
310,1002.2988,11469,11174,295,51.468803575896416
311,1004.7606,11514,11163,351,61.48161707729868
312,1007.2213,11362,11054,308,75.61003136244247
313,1009.681,11236,10979,257,93.1085795516458
314,1012.1397,11278,11008,270,112.83387025270963
315,1014.5974,11388,11025,363,133.3891632169899
316,1017.0541,11427,11011,416,155.10350495134048
317,1019.5097,11211,10853,358,178.6107773910976
318,1021.9644,11258,10813,445,203.71261325699754
319,1024.418,11223,10778,445,230.3663848940501
320,1026.8707,10994,10564,430,257.7639813548888
321,1029.3223,10821,10419,402,284.42342143960315
322,1031.7729,10847,10354,493,310.46870221628575
323,1034.2224,10873,10264,609,336.0024206345294
324,1036.671,10997,10401,596,358.90065788879684
325,1039.1186,11247,10592,655,377.19152624346367
326,1041.5651,11506,10769,737,388.69377163923804
327,1044.0106,11717,10955,762,391.16575275852364
328,1046.4551,11790,11056,734,386.01723627648846
329,1048.8986,11776,11036,740,376.05352357920333
330,1051.3411,11713,11044,669,362.18053537339506
331,1053.7825,11655,11048,607,345.71348633507165
332,1056.223,11574,11117,457,329.0613600787551
333,1058.6624,11713,11130,583,314.01149258476073
334,1061.1008,11684,11200,484,303.6778908646614
335,1063.5382,11746,11218,528,301.1490316125716
336,1065.9746,11787,11176,611,305.0512690009454
337,1068.4099,11773,11112,661,312.6685046147478
338,1070.8442,11816,11211,605,322.58689053607065
339,1073.2776,11850,11234,616,332.8654165831195
340,1075.7099,11861,11171,690,341.89932971782986
341,1078.1411,11847,11198,649,348.85846499539787
342,1080.5714,12018,11218,800,351.32336687000304
343,1083.0006,11960,11285,675,346.96707635121254
344,1085.4289,11787,11163,624,336.7281007661167
345,1087.8561,11896,11267,629,322.3674422675759
346,1090.2823,12143,11405,738,305.18939786192624
347,1092.7074,11991,11277,714,286.909575080179
348,1095.1316,11816,11290,526,268.2942410956766
349,1097.5547,11839,11333,506,249.5467073650199
350,1099.9768,11838,11323,515,231.9891349304412
351,1102.3979,11889,11278,611,216.86562192188853
352,1104.818,11743,11328,415,203.96444665234586
353,1107.237,11730,11231,499,192.78520808491297
354,1109.655,11689,11202,487,182.7967131447499
355,1112.072,11643,11181,462,173.26820965774442
356,1114.488,11668,11183,485,164.17538298273746
357,1116.903,11711,11284,427,155.74260498311835
358,1119.3169,11845,11333,512,147.72630530298375
359,1121.7298,11722,11243,479,139.90569958744578
360,1124.1417,11677,11262,415,132.3497780823582
361,1126.5526,11638,11161,477,125.1523811286663
362,1128.9625,11683,11232,451,118.45543175410926
363,1131.3713,11612,11238,374,112.44154721313336
364,1133.7791,11555,11243,312,107.11055982849875
365,1136.1859,11494,11081,413,102.38861687828197
366,1138.5917,11451,11030,421,98.29840874523464
367,1140.9964,11505,11098,407,94.85225968129164
368,1143.4002,11532,11103,429,91.94156910847569
369,1145.8029,11447,11097,350,89.42046137920288
370,1148.2045,11495,11174,321,87.19332740744306
371,1150.6052,11355,11035,320,85.14509546756881
372,1153.0048,11322,11005,317,83.13182743905952
373,1155.4034,11418,11015,403,81.04552047834775
374,1157.801,11323,10906,417,78.70840004479113
375,1160.1976,11295,10899,396,75.95373624569467
376,1162.5931,11347,11059,288,72.84131411097593
377,1164.9877,11399,11090,309,69.49365920623774
378,1167.3812,11317,10871,446,66.00187202458267
379,1169.7736,11293,10805,488,62.489698260269535
380,1172.1651,11325,10843,482,59.0140147876454
381,1174.5555,11305,10859,446,55.59546655515739
382,1176.9449,11157,10805,352,52.345823246277256
383,1179.3333,11112,10819,293,49.3706777333638
384,1181.7206,11250,10848,402,46.679414976405376
385,1184.107,11186,10687,499,44.27381338944497
386,1186.4923,11138,10681,457,42.120755340886575
387,1188.8766,11034,10638,396,40.1738316216827
388,1191.2598,10980,10523,457,38.49441005390154
389,1193.6421,10729,10378,351,37.15907056681243
390,1196.0233,10573,10249,324,36.21443944255707
391,1198.4035,10527,10196,331,35.71033515925245
392,1200.7826,10749,10363,386,35.62520980175923
393,1203.1608,10944,10519,425,35.90358625405158
394,1205.5379,11154,10727,427,36.542645265713155
395,1207.914,11170,10842,328,37.53057638279259
396,1210.289,11287,10886,401,38.813307757313744
397,1212.6631,11294,10861,433,40.347305939276104
398,1215.0361,11310,10943,367,42.054645431517045
399,1217.4081,11339,10923,416,43.85593865767815
400,1219.7791,11333,10783,550,45.784042761094696
401,1222.149,11469,11001,468,47.899424721156116
402,1224.5179,11345,10906,439,50.235380064585776
403,1226.8858,11367,10863,504,52.83751558472926
404,1229.2527,11455,10971,484,55.71444452844968
405,1231.6186,11218,10771,447,58.85019617999704
406,1233.9834,11356,10960,396,62.28061358850926
407,1236.3472,11568,11101,467,66.03274810595832
408,1238.71,11461,10925,536,70.06873466093784
409,1241.0717,11439,10981,458,74.34673544852186
410,1243.4324,11609,11191,418,78.78945480152342
411,1245.7921,11364,10860,504,83.30990295505715
412,1248.1508,11324,10748,576,87.91328024709034
413,1250.5085,11408,10912,496,92.61454361344477
414,1252.8651,11503,10998,505,97.40959726596648
415,1255.2207,11382,10829,553,102.3009985389186
416,1257.5753,11298,10748,550,107.21309946208387
417,1259.9289,11312,10710,602,112.03767683706921
418,1262.2814,11368,10710,658,116.73488742488607
419,1264.6329,11687,11053,634,121.25864610194515
420,1266.9834,11963,11254,709,125.52089461345649
421,1269.3329,11639,10994,645,129.45660078193814
422,1271.6813,11380,10841,539,132.95376623355557
423,1274.0287,11400,10725,675,135.90979070670477
424,1276.3751,11525,10786,739,138.3839116913504
425,1278.7205,11553,10883,670,140.47484844215123
426,1281.0648,11521,10849,672,142.27653723660436
427,1283.4081,11528,10814,714,143.9064359738815
428,1285.7504,11432,10732,700,145.3989050501215
